	node Id
veli makinen+1	65
bernadette charron-bost+1	143
matching market equilibrium algorithms.+2	221
erin w. chambers+1	196
andrew winslow+1	243
symbolic model checking.+2	113
michael ley+1	1
maurizio patrignani+1	207
djamal belazzougui+1	172
11/1996+4	34
graph coloring.+2	109
goran konjevod+1	242
multicommodity flow, well-linked terminals and routing problems.+2	205
brendan d. mckay+1	239
orienteering problems.+2	75
seven steps to rendezvous with the casual user.+2	4
point pattern matching.+2	86
jeff erickson+1	197
sanjoy k. baruah+1	192
11/1995+4	57
yoji kajitani+1	163
...+2	63
extremal problems.+2	184
haitong tian+1	185
robust bin packing.+2	247
christoph ambuhl+1	89
tian-ming bu+1	117
kun-mao chao+1	170
ski rental problem.+2	132
pierre leone+1	136
05/1981+4	16
08/1969+4	29
(paper retracted)+2	60
hugo hellebrand+1	47
george b. mertzios+1	225
kernelization, partially polynomial kernels.+2	70
kyle fox+1	198
oliver gutjahr+1	39
venkatesh srinivasan+1	84
approximate dictionaries.+2	85
voltage scheduling.+2	228
11/1971+4	31
two-dimensional pattern indexing.+2	97
dynamic approximate all-pairs shortest paths: breaking the o(mn) barrierand derandomization.+2	146
gayane grigoryan+1	37
christian komusiewicz+1	69
the capabilities of relational database management systems.+2	15
markus schmidt+1	127
11/2003+4	45
monika henzinger+1	145
similarity between compressed strings.+2	119
joong chae na+1	98
external sorting and permuting.+2	231
07/1996+4	20
john lions+1	33
01/1974+4	7
catchment classification by runoff behaviour with self-organizing maps (som)+2	46
local search for k-medians and facility location.+2	80
db&lp: a www bibliography on databases and logic programming+2	56
compressed suffix array.+2	64
andreas bjorklund+1	158
floorplan and placement.+2	162
derivability, redundancy and consistency of relations stored in large data banks.+2	28
(paper withdrawn)+2	61
maria j. serna+1	130
yngve villanger+1	90
kim-manuel klein+1	246
nathan fisher+1	191
oliver gronz+1	38
xiaotie deng+1	96
gad m. landau+1	122
simulated annealing.+2	179
rolf niedermeier+1	154
perfect phylogeny (bounded number of states).+2	141
markus casper+1	36
gonzalo navarro+1	224
dina sokol+1	78
locally testable codes.+2	209
joachim muller+1	54
li-sha huang+1	73
manor mendel+1	151
e. f. codd+1	5
jiong guo+1	167
amihood amir+1	121
quantum algorithm for element distinctness.+2	133
quantum approximation of the jones polynomial.+2	189
randomized parallel approximations to max flow.+2	129
jesper jansson+1	140
ashwin nayak+1	160
andreas rock+1	42
andre schiper+1	144
principles of distributed object database languages.+2	17
geometric dilation of geometric networks.+2	110
jonathan ullman+1	215
mengling li+1	222
bin packing.+2	103
rita ley+1	41
chengwen chris wang+1	211
08/1971+4	25
aleksandar nikolov+1	214
geometric approaches to answering queries.+2	213
jeffrey c. jackson+1	82
encyclopedia of algorithms+5	68
http://dx.doi.org/10.5194/hess-15-2947-2011+10	49
paul g. spirakis+1	107
non-approximability of bimatrix nash equilibria.+2	95
quantum algorithm for checking matrix identities.+2	161
bin ma+1	203
relational completeness of data base sublanguages.+2	21
11/2016+4	71
rolf klein+1	111
(duplicate entry was deleted)+2	59
robust geometric computation.+2	217
local approximation of covering and packing problems.+2	232
counting triangles in graph streams.+2	166
critical range for wireless networks.+2	248
11/2012+4	43
topologisches sortieren - mit welcher aufgabe meiner todo-liste fange ich an?+2	182
mark s. manasse+1	131
masayuki takeda+1	123
undirected feedback vertex set.+2	168
incremental algorithms.+2	245
paul g. howard+1	238
giuseppe f. italiano+1	252
(was never published)+2	62
bend minimization for orthogonal drawings of plane graphs.+2	206
(error)+2	58
r-trees.+2	149
chee k. yap+1	227
c. j. date+1	9
dieter kratsch+1	175
panagiota n. panagopoulou+1	106
dblp.uni-trier.de: computer science bibliography+2	2
arithmetic coding for data compression.+2	237
db/conf/ds/dbm74.html#codd74+9	6
11/1974+4	14
andris ambainis+1	134
thore husfeldt+1	159
sotiris e. nikoletseas+1	138
markus tresch+1	18
11/1994+4	55
lions' commentary on unix 6th edition, with source code+2	32
approximate tandem repeats.+2	76
fabrizio grandoni+1	177
werner john+1	51
technical report 248, eth zurich, dept. of computer science+10	19
raffaele giancarlo+1	100
zeph landau+1	188
canonical orders and schnyder realizers.+2	115
fabian kuhn+1	233
geometric object enumeration.+2	194
gregory kucherov+1	77
paul pavlos spirakis+1	236
rolf fagerberg+1	93
single-source fully dynamic reachability.+2	251
hagen hopfner+1	181
jose d. p. rolim+1	139
06/1974+4	10
jeffrey scott vitter+1	230
string.+2	135
madhav jha+1	165
packet switching in multi-queue switches.+2	128
exact algorithms for dominating set.+2	174
approximate regular expression matching.+2	223
common subexpression identification in general algebraic systems.+2	11
randomized energy balance algorithms in sensor networks.+2	137
patrick a. v. hall+1	12
backdoors to sat.+2	125
minimum energy broadcasting in wireless geometric networks.+2	88
michael langberg+1	108
data base sublanguage founded on the relational calculus.+2	26
weighted random sampling.+2	235
computing pure equilibria in the game of parallel links.+2	180
danupon nanongkai+1	148
pavlos s. efraimidis+1	234
exact graph coloring using inclusion-exclusion.+2	157
weighted caching.+2	183
o(log log n)-competitive binary search tree.+2	212
prahladh harsha+1	208
interactive support for non-programmers: the relational and network approaches.+2	8
cuckoo hashing.+2	201
jin wook kim+1	120
self-assembly with general shaped tiles.+2	244
rosar - rule oriented system for analysis of reflections on printed circuit boards+2	52
rasmus pagh+1	200
kamesh munagala+1	79
maximum-average segments.+2	169
learning dnf formulas.+2	81
fedor v. fomin+1	176
query release via online learning.+2	216
analysis of projected hydrological behavior of catchments based on signature indices+2	35
consensus with partial synchrony.+2	142
chandra chekuri+1	204
07/1971+4	27
vcg.+2	164
sebastian krinninger+1	147
serge gaspers+1	126
david s. johnson+1	102
esko ukkonen+1	87
shortest route.+2	83
ralf merz+1	48
graph isomorphism.+2	240
degree-bounded trees.+2	156
stephen g. kobourov+1	116
approximations of bimatrix nash equilibria.+2	104
dominik ley+1	53
/1993+4	3
amit prakash+1	114
amir nayyeri+1	199
chee-keng yap+1	218
layout decomposition for multiple patterning.+2	186
fast minimal triangulation.+2	91
atomic scan.+2	67
competitive auction.+2	118
martin d. f. wong+1	187
peptide de novo sequencing with ms/ms.+2	202
acm sigmod contribution award 2003 acceptance speech+2	44
multitolerance graphs.+2	226
string sorting.+2	92
taschenbuch der algorithmen+2	171
metrical task systems.+2	152
nitish korula+1	74
martin furer+1	155
paolo ferragina+1	99
adnan aziz+1	112
shin-ichi nakano+1	193
11/2011+4	50
03/1972+4	22
kunsoo park+1	101
spyros c. kontogiannis+1	105
vikram sharma 0001+1	219
11/2008+4	66
general equilibrium.+2	72
separators in graphs.+2	241
ming min li+1	229
peter rossmanith+1	178
further normalization of the data base relational model.+2	23
data reduction for domination in graphs.+2	153
global minimum cuts in surface-embedded graphs.+2	195
ke yi+1	150
gunther heinemann+1	40
camil demetrescu+1	250
ning chen+1	220
predecessor search, string algorithms and data structures.+2	173
chih-wei yi+1	249
rate-monotonic scheduling.+2	190
normalized data base structure: a brief tutorial.+2	30
technical rep. uksc 0060, ibm united kingdom scientific centre+10	13
xi chen+1	94
ibm research report, san jose, california+10	24
compressed pattern matching.+2	124
weighted bipartite matching.+2	210
